id,precio,marca,modelo,foto,anio,kilometraje,motor,transmision,peso,ubiActual,histAccident,histService,tipoVehiculo,duenio
11,12588.0,Kia,Sportage,Kia-Sportage-2023,2022,5000,Milwaukee-Eight 107,manual,362,Ibarra,null,18-2-2023;Cambio de aceite;30.0;Aceite sintético/12-5-2023;Inspección de cadena;25.0;Cadena ajustada,CARRO,sebsm1234
12,3900.0,Kia,Sportage Active,Kia-SportageActive-2017,2021,10000,150cc,manual,131,Latacunga,1-4-2023;Deslizamiento;200.0,20-3-2023;Revisión de suspensión;40.0;Suspensión ajustada/15-6-2023;Cambio de filtro de aire;15.0;Filtro nuevo,CARRO,sebsm1234
13,2099.0,Kia,Sportage R,Kia-SportageR-2017,2021,7000,125cc,automática,114,Tena,null,10-2-2023;Cambio de aceite;20.0;Aceite estándar/5-5-2023;Inspección general;50.0;Revisión completa,CARRO,evaluador
14,14700.0,Kia,Sportage R,Kia-SportageR-2021,2022,50000,Detroid DD15,automática,8500,Tulcán,15-7-2022;Choque con objeto fijo;4500.0/19-8-2023;Caída en curva;600.0,25-1-2023;Cambio de aceite;30.0;Aceite sintético/20-4-2023;Inspección de frenos;35.0;Inspección completa,CARRO,sebsm1234
15,54386.0,Toyota,Fortune,Toyota-Fortuner-2023,2023,60000,PACCAR MX-13,manual,8300,Machala,25-2-2023;Colisión múltiple;7000.0/22-1-2023;Choque en cruce;1200.0,28-2-2023;Revisión de transmisión;100.0;Transmisión completa/22-5-2023;Cambio de filtros;60.0;Filtros nuevos,CARRO,sebsm1234
16,39990.0,Toyota,Prius C,Toyota-PriusC-2016,2023,5000,1254 cc twin-cylinder,manual,249,Babahoyo,null,15-2-2023;Inspección de frenos;35.0;Inspección completa/10-5-2023;Cambio de aceite;30.0;Aceite sintético,CARRO,sebsm1234
17,13700.0,Toyota,Prius C,Toyota-PriusC-2020,2020,15000,3.5L V6,automática,2300,Quevedo,null,18-1-2023;Cambio de batería;80.0;Batería nueva/8-4-2023;Limpieza de inyectores;50.0;Limpieza completa,CARRO,evaluador
18,28995.0,Toyota,Rav 4,Toyota-Rav4-2021,2021,20000,4.3L V6,automática,2360,Morona Santiago,null,12-3-2023;Cambio de bujías;25.0;Bujías nuevas/22-6-2023;Inspección general;50.0;Revisión completa,CARRO,sebsm1234
19,52467.0,Toyota,Rav 4,Toyota-Rav4-2023,2023,30000,2.4 L 4 cilindros,automática,1544,La Libertad,3-6-2021;Golpe en guardabarros;800.0/13-10-2023;Colisión con ciclista;900.0,20-2-2023;Revisión de suspensión;70.0;Suspensión ajustada/10-5-2023;Mantenimiento de sistema eléctrico;60.0;Revisión y ajuste,CARRO,sebsm1234
20,38500.0,Toyota,Yaris,Toyota-Yaris-2016,2019,40000,2.0 L 4 cilindros,automática,2426,Salinas,11-9-2022;Colisión lateral;2200.0,15-1-2023;Cambio de aceite;30.0;Aceite sintético/10-4-2023;Alineación;40.0;Alineación completa,CARRO,sebsm1234
21,5645.0,Toyota,Yaris,Toyota-Yaris-2020,2020,50000,1.5L,manual,2300,Babahoyo,null,15-2-2021;Inspección de frenos;30.0;Inspección completa/10-8-2023;Cambio de aceite;36.0;Aceite sintético,CARRO,sebsm1234
22,9526.0,Toyota,Yaris,Toyota-Yaris-2022,2022,6200,1.6L,automática,1065,Ambato,null,10-7-2023;Cambio de aceite;29.0;Aceite estándar/5-5-2024;Inspección general;40.0;Revisión completa,CARRO,evaluador
23,1523.0,Suzuki,Bandit,Suzuki-Bandit-2008,2008,7840,125cc,manual,131,Guayaquil,null,22-1-2023;Cambio de aceite;20.0;Aceite sintético/15-8-2023;Rotación de neumáticos;25.0;Rotación estándar,MOTO,evaluador
24,1026.0,Suzuki,GSX750,Suzuki-GSX750-2020,2020,9000,1.6L,manual,362,Portoviejo,1-4-2023;Deslizamiento;200.0,18-1-2018;Cambio de batería;80.0;Batería nueva/8-4-2022;Limpieza de inyectores;60.0;Limpieza completa,MOTO,sebsm1234
25,1263.0,BMW,F700GS,Bmw-F700GS-2016,2016,95000,125cc,manual,254,Guayaquil,null,10-2-2023;Cambio de aceite;20.0;Aceite estándar/5-5-2023;Inspección general;50.0;Revisión completa,MOTO,sebsm1234
26,2651.0,BMW,F850GS,Bmw-F850GS-2018,2018,4500,150cc,manual,152,Quito,null,15-2-2023;Inspección de frenos;35.0;Inspección completa/10-5-2023;Cambio de aceite;30.0;Aceite sintético,MOTO,evaluador
27,8513.0,Honda,XR650,Honda-XR650L-2019,2019,551000,1.6L,manual,420,Guayaquil,null,20-1-2023;Mantenimiento del sistema de frenos;45.0;Revisión y ajuste/12-4-2023;Rotación de neumáticos;20.0;Rotación estándar,MOTO,sebsm1234
28,15890.0,Chevrolet,Aveo Family,Chevrolet-AveoFamily-2007,2007,30000,1.2L,manual,935,Quito,null,15-1-2023;Cambio de aceite;30.0;Aceite sintético/10-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,evaluador
29,18110.0,Chevrolet,Aveo Family,Chevrolet-AveoFamily-2013,2013,15000,1.6L,manual,1097,Guayaquil,10-3-2023;Colisión trasera;1200.0/25-2-2023;Colisión múltiple;7000.0,20-2-2023;Cambio de filtro de aire;15.0;Filtro nuevo/10-5-2023;Alineación;40.0;Alineación completa,CARRO,sebsm1234
30,20000.0,Chevrolet,Aveo Family,Chevrolet-AveoFamily-2016,2016,20000,1.5L,manual,1065,Cuenca,15-8-2022;Colisión lateral;1500.0,12-3-2023;Cambio de bujías;25.0;Bujías nuevas/22-6-2023;Inspección de frenos;35.0;Inspección completa,CARRO,sebsm1234
31,20440.0,Chevrolet,Camaro,Chevrolet-Camaro-2020,2020,25000,1.6L,automática,982,Loja,null,18-1-2023;Cambio de batería;80.0;Batería nueva/8-4-2023;Limpieza de inyectores;50.0;Limpieza completa,CARRO,evaluador
32,15310.0,Chevrolet,Camaro,Chevrolet-Camaro-2023,2023,30000,1.6L,manual,1050,Manta,22-5-2023;Daño en puerta;500.0,15-3-2023;Revisión de transmisión;100.0;Transmisión completa/25-6-2023;Mantenimiento de sistema eléctrico;60.0;Revisión y ajuste,CARRO,sebsm1234
33,25500.0,Chevrolet,Captiva,Chevrolet-Captiva-2012,2012,18000,1.0L Turbo,automática,1050,Portoviejo,null,22-1-2023;Cambio de aceite;30.0;Aceite sintético/15-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,sebsm1234
34,23627.0,Chevrolet,Captiva,Chevrolet-Captiva-2020,2020,20000,1.6L,automática,1045,Esmeraldas,null,18-2-2023;Inspección de frenos;35.0;Inspección completa/12-5-2023;Cambio de filtro de aire;15.0;Filtro nuevo,CARRO,sebsm1234
35,25733.0,Chevrolet,Captiva,Chevrolet-Captiva-2021,2021,35000,2.3L EcoBoost I-4,automática,2009,Ambato,12-11-2022;Choque frontal;3000.0,30-1-2023;Revisión de suspensión;70.0;Suspensión ajustada/20-4-2023;Alineación;40.0;Alineación completa,CARRO,evaluador
36,15000.0,Chevrolet,Grand Vitara,Chevrolet-GrandVitara-2016,2016,20000,1.8L I-4,automática,1300,Santo Domingo,null,15-2-2023;Cambio de aceite;30.0;Aceite sintético/10-5-2023;Inspección general;50.0;Revisión completa,CARRO,sebsm1234
37,40450.0,Chevrolet,Grand Vitara,Chevrolet-GrandVitara-2019,2019,15000,5.3L V8,automática,2480,Riobamba,null,20-1-2023;Mantenimiento del sistema de frenos;45.0;Revisión y ajuste/12-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,sebsm1234
38,12588.0,Chevrolet,Sail,Chevrolet-Sail-2018,2018,18000,1.6L,manual,2480,Quito,null,30-1-2023;Revisión de suspensión;70.0;Suspensión ajustada/20-4-2023;Alineación;40.0;Alineación completa,CARRO,evaluador
39,25733.0,Chevrolet,Sail,Chevrolet-Sail-2020,2020,20000,4.3L V6,manual,1050,Guayaquil,null,20-1-2023;Mantenimiento del sistema de frenos;45.0;Revisión y ajuste/12-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,evaluador
40,12588.0,Chevrolet,SparkGT,Chevrolet-SparkGT-2020,2020,25000,1.6L,manual,1650,Quito,null,30-1-2023;Revisión de suspensión;70.0;Suspensión ajustada/20-4-2023;Alineación;40.0;Alineación completa,CARRO,sebsm1234
41,25733.0,Chevrolet,SparkGT,Chevrolet-SparkGT-2024,2024,18000,4.3L V6,manual,2009,Tena,null,30-1-2023;Revisión de suspensión;70.0;Suspensión ajustada/20-4-2023;Alineación;40.0;Alineación completa,CARRO,sebsm1234
42,20440.0,Ford,Edge,Ford-Edge-2015,2015,20000,4.3L V6,manual,1800,Quito,null,20-1-2023;Mantenimiento del sistema de frenos;45.0;Revisión y ajuste/12-4-2023;Rotación de neumáticos;20.0;Rotación estándar,CARRO,sebsm1234
43,15890.0,Ford,Edge,Ford-Edge-2020,2020,25000,1.6L,manual,2360,Guayaquil,null,20-3-2023;Revisión de suspensión;40.0;Suspensión ajustada/15-6-2023;Cambio de filtro de aire;15.0;Filtro nuevo,CARRO,sebsm1234
44,15000.0,Ford,Escape,Ford-Escape-2015,2015,6200,4.3L V6,manual,2000,Manta,null,20-3-2023;Revisión de suspensión;40.0;Suspensión ajustada/15-6-2023;Cambio de filtro de aire;15.0;Filtro nuevo,CARRO,sebsm1234
45,12588.0,Ford,Escape,Ford-Escape-2022,2022,20000,4.3L V6,manual,1950,Quito,null,30-1-2023;Revisión de suspensión;70.0;Suspensión ajustada/20-4-2023;Alineación;40.0;Alineación completa,CARRO,sebsm1234
46,38500.0,Ford,F150XLTC,Ford-F150XLTCD-2020,2020,25000,4.3L V6,manual,1800,Guayaquil,22-5-2023;Daño en puerta;500.0,20-3-2023;Revisión de suspensión;40.0;Suspensión ajustada/15-6-2023;Cambio de filtro de aire;15.0;Filtro nuevo,CARRO,sebsm1234
48,90000.0,Hyundai,XClientGT,foto,2022,9111,No sé,manual,9800,Guayaquil,5-6-2023;Choque;900.0,null,CAMION,Alex
49,93545.0,MercedesBenz,41538x6,MercedesBenz-41538x6-2021,2021,654354,VFDS,manual,9965,Quito,10-6-2024;Choque;5845.0,null,CAMION,Alex
50,87000.0,MercedesBenz,41538x6,MercedesBenz-41538x6-2021,2021,65455,vfd25,automática,9604,Quito,null,null,CAMION,Alex
